"status","avg_life_exp","avg_malaria_deaths","avg_tb_deaths","avg_diarrheal_deaths","avg_respiratory_infections","avg_neonatal_deaths","avg_population","avg_gdp"
"Developed",78.6917355371901,0,343.115702479339,330.04958677686,4866.59504132231,443.636363636364,8744687.66115703,18976.9318446322
"Developing",67.8001481481482,5563.01259259259,10943.8318518519,14577.8251851852,17490.9733333333,18893.7711111111,15665079.9257481,3274.42589572622
