"country","avg_life_exp","avg_cardio_deaths","avg_neonatal_deaths","avg_hiv_deaths","corr_cardio_life_exp","corr_neonatal_life_exp","corr_hiv_life_exp"
"Afghanistan",58.19375,54560.5625,24004.1875,155.8125,0.789277579049238,0.191128279462475,0.92599953457232
"Albania",75.15625,9534.625,412.375,2,0.844573091648952,-0.941319005850023,NA
"Algeria",74.2090909090909,73752.0909090909,12397.3636363636,296.090909090909,0.928896455573995,-0.902764167810795,0.991416982643029
"Angola",50.675,19604,20251,12216.125,0.72487423085597,-0.00559929116936838,0.81198687078248
"Argentina",75.2384615384615,91607,5029.53846153846,1725.84615384615,0.013776524625793,-0.963854876097242,-0.459708746837603
"Armenia",73.3066666666667,13228.0666666667,356.666666666667,9,0.210710554792458,-0.964109033718914,0.885255649039769
"Australia",81.9071428571429,45956.2142857143,621.5,108.714285714286,-0.250304900781912,-0.38112920484674,-0.0745902645910318
"Austria",81.48,32133.4,155.266666666667,48.6,-0.633039873912319,-0.714999016818367,-0.583603047019188
"Azerbaijan",71.1461538461539,36953.9230769231,2989.15384615385,46.4615384615385,0.604982110631359,-0.0648547368950666,-0.58002588292642
"Bangladesh",69.9666666666667,230262.75,80518.1666666667,204.916666666667,0.614430345307325,-0.770516796181134,0.805609459871615
"Belarus",69.7466666666667,81245.4666666667,325.866666666667,294.733333333333,-0.520060748070395,-0.851599294960727,0.877852454307714
"Belgium",80.6533333333333,33190.9333333333,223.8,79.6,-0.754394634598054,-0.745863472317112,-0.587765591839718
"Belize",69.1533333333333,321.733333333333,68.9333333333333,72,0.460057640889486,-0.910587530940912,0.352180743295211
"Benin",57.7076923076923,8620.15384615385,11453.3076923077,3657.38461538462,0.978165370990316,0.99816081318411,-0.918209742680057
"Bhutan",65.92,911.2,469.533333333333,23.5333333333333,0.982738134760102,-0.993647111737119,0.967238652915224
"Bosnia and Herzegovina",76.1818181818182,17126.6363636364,130.545454545455,2.27272727272727,0.293880101273156,-0.943998706551254,-0.535836346889676
"Botswana",55.4066666666667,2876.46666666667,986.133333333333,10979.2666666667,0.560527130068716,-0.464353215912757,-0.98985695125226
"Brazil",73.2733333333333,325061.466666667,52946.2666666667,15084.3333333333,0.665100182524562,-0.689879623101136,0.535020242819541
"Bulgaria",72.74,81036.2,288.733333333333,70.8,-0.98060794723181,-0.906451518974035,-0.258506574887623
"Burkina Faso",57.2333333333333,16912.6666666667,16153.3333333333,6891.44444444444,0.977493492230085,0.940783361875914,-0.995647101155167
"Burundi",56.0272727272727,8473.36363636364,8686.90909090909,8778.09090909091,0.950629002293163,0.932384129115356,-0.995675657936203
"Cambodia",66.4333333333333,22650.2222222222,5936.88888888889,3753.33333333333,0.983598165816768,-0.976305154771177,-0.988256651323756
"Cameroon",54.86,21218.6,16761.7,35387.3,0.995005351446081,0.709920242011683,-0.699786516693883
"Canada",82.2333333333333,69895.5833333333,1066.33333333333,378.416666666667,-0.293515893928559,0.57258567572995,0.147706592540461
"Central African Republic",51.4166666666667,6173.33333333333,5836.33333333333,9205.66666666667,0.734871136517876,-0.73352074511736,-0.891332193421506
"Chad",52.2857142857143,11603.2857142857,14386.4285714286,4905,0.00659018573190267,0.0183544443984792,-0.399137946933589
"Chile",79.9444444444444,25069.3333333333,855.888888888889,472.666666666667,0.743376403454683,-0.56195178048987,0.791222435380798
"China",74.14,3533111.73333333,108043.866666667,15038.9333333333,0.9669297044536,-0.998271598863534,0.946895686342594
"Colombia",73.1866666666667,55390.6666666667,8358.66666666667,2569.93333333333,0.901739096617053,-0.959759259757092,0.741247255364834
"Comoros",61.9416666666667,885.25,579.75,1,0.441683629586193,-0.454248130094953,NA
"Costa Rica",78.5266666666667,4696.26666666667,364.6,159.133333333333,0.524659796233952,-0.828159003711525,0.261772805418674
"Croatia",76.7875,24157.375,101.5,10,-0.951561321960379,-0.939435481924852,0.117900621088526
"Cyprus",79.32,2736.2,29.6666666666667,3.2,-0.29906111476183,-0.674425826582801,0.713160325693819
"Djibouti",62.725,851.625,773.375,1066.375,0.0301856803445577,0.159949748700975,0.195301598611728
"Dominican Republic",72.24,18144.8666666667,4137.13333333333,2804.8,0.527671622897265,-0.435211459345628,-0.684234271299
"Ecuador",74.6266666666667,15456.4666666667,3657.53333333333,867.066666666667,0.965593644598734,-0.961144824791288,0.929789072018318
"El Salvador",71.6266666666667,7371.26666666667,966.066666666667,732.733333333333,0.540583299039896,-0.649899885675963,0.473782226481057
"Equatorial Guinea",57.9,774,554,1791,NA,NA,NA
"Eritrea",61.09,4661.6,3653.1,3159.4,0.709406342868291,0.556322746864282,-0.722640371416792
"Estonia",74.7636363636364,8327.72727272727,24.8181818181818,42.4545454545455,-0.976727637825488,-0.993600280391389,0.758356015918414
"Ethiopia",62.7375,63078.125,95505.5,48061.375,0.323407148876506,-0.418457366551573,-0.536311240920808
"Fiji",68.6333333333333,2136.93333333333,190.533333333333,12.4,0.957832239637195,-0.981498388026823,-0.603816019925677
"France",82.2066666666667,151713.266666667,1483.93333333333,853.6,-0.620022693071752,-0.483118009993025,-0.280550905473626
"Gabon",63,2245.2,731.8,1811.3,0.213839659249238,-0.691357909488806,-0.674293019551138
"Georgia",73.4466666666667,34453.8666666667,734.533333333333,12.6,-0.771576179144937,-0.82938338408577,0.536223030423103
